Name,Before,After,Difference,Done?
assassinbtw1,460,480,20,
mr_clarki,450,470,20,
frankbomb1,450,900,450,
cakey13_,450,470,20,
velvet_m0mmy,440,470,30,
shvdzw,440,480,40,
pundaah,440,1090,650,
spazzyp254official,430,2910,2480,
nrthie,430,440,10,
wybiefn,420,450,30,
snipez_the_og,420,430,10,
joseph_4ever,420,450,30,
happy_power,420,430,10,
cylo10k,420,430,10,
bjonfortnite,420,430,10,
binleymeggachippyw,420,440,20,
4liferrs1,420,480,60,
thedarkswan420,410,750,340,
rustmdg,410,440,30,
ohjsc,410,1170,760,
skyflax,400,420,20,
scottlann,400,640,240,
mrmiddy,390,480,90,
mintydamien,390,560,170,
bsg_footy,390,570,180,
blakej1886,390,470,80,
samantha_jade2002,380,400,20,
jujubekies,380,450,70,
eddiewillers,380,410,30,
dolarox9,380,430,50,
alexstyles,380,700,320,
leivar08,370,590,220,
godzgn,370,1160,790,
yung_mexx,360,380,20,
xulliy,360,400,40,
ruflesscat,360,370,10,
archie4k,360,400,40,
zerotheassassn,350,510,160,
imkyushu,350,360,10,
mavixchairs,340,460,120,
instantps1,340,870,530,
danbeanie,340,380,40,
brickmeisterusa,340,350,10,
dixperbro,330,380,50,
willthefilipino,320,370,50,
sammyfishyyy,320,490,170,
mrjayowhy,320,350,30,
ingitippalingi,320,330,10,
bluedreams6010,320,380,60,
uifrog,310,340,30,
kitleakz,310,350,40,
iroken22,310,340,30,
tobyproplayer123,300,310,10,
smelly_lelly07,300,360,60,
seenwonderalex,300,350,50,
arrybo,300,310,10,
sashemi_123,290,460,170,
oxowrld,290,320,30,
mpaterson16,290,460,170,
eloitsadam,290,300,10,
bsg_blinkyyxpheebs,290,1100,810,
bionicknight889,290,310,20,
astroowl1,290,300,10,
tedam100,280,600,320,
moneybagmilan,280,430,150,
minifake03,280,290,10,
dexfn07,280,320,40,
sdcottle,270,280,10,
louieb1455,270,310,40,
creeperbrine102,270,280,10,
yoyomon_,260,280,20,
t4sophie28,260,510,250,
snozq,260,270,10,
scheesleyplays,260,300,40,
kolyx0000,260,310,50,
gamerboi045,260,270,10,
txrifle218,250,670,420,
sharktv870,250,810,560,
olten,250,340,90,
lbbhbella,250,260,10,
itsbubbless_,250,460,210,
alfie_am100,250,430,180,
ollyldnutd,240,330,90,
kiwimse,240,260,20,
itsfrenzybr,240,1900,1660,
bear1558,240,250,10,
ryanstoker,230,240,10,
foxxy_sly,230,490,260,
eyekandie,230,240,10,
nape____,220,270,50,
kirbz,220,230,10,
melissasuewho,210,260,50,
mattyyplayzz,210,1010,800,
exolovesmen,210,270,60,
adumblmao,210,600,390,
yepitsxavier,200,740,540,
notchuuky,200,210,10,
lb_monster,200,440,240,
gklmao,200,700,500,
fluffestbunnyontwitch,200,400,200,
babysharkm,200,210,10,
xmissfrostyx,190,570,380,
welovebigpuffer,190,200,10,
trueparker,190,200,10,
matt_city,190,230,40,
m1kedoo,190,1670,1480,
justhazee,190,980,790,
fizzfn_fnbr,190,200,10,
devljason0808,190,290,100,
aaron_bonsell_,190,340,150,
theodd1gamer,180,190,10,
notsamuei,180,190,10,
jsaxter,180,190,10,
di1lonn,180,230,50,
darrenhotdog1,180,190,10,
conggs_,180,1040,860,
cannydeku,180,190,10,
soph_xoxoxo,170,220,50,
itsjosh202,170,180,10,
camperyes,170,190,20,
blurryg00se,170,180,10,
b3gzz,170,180,10,
temehiro,160,610,450,
mercedes356,160,200,40,
magikernfnbr,160,180,20,
laurboi,160,720,560,
jenniferclix,160,170,10,
zehnski,150,420,270,
simon98467,150,160,10,
nodoh232,150,480,330,
jollyver123,150,210,60,
harveykr_,150,180,30,
donaruda,150,160,10,
wethan,140,250,110,
tay073,140,420,280,
matth3w1kk,140,160,20,
alphaxnu,140,150,10,
jlemontv,130,700,570,
barcodeben,130,140,10,
the_guy_behind_theaccount,120,130,10,
syloruins,120,140,20,
magnnetic,120,130,10,
leakysussed,120,180,60,
krissycoo1234,120,230,110,
chizzs,120,180,60,
static8k,110,120,10,
miles_up,110,1630,1520,
meganholly,110,450,340,
danicarlottax3,110,150,40,
brunoam100,110,130,20,
virtual_offical,100,110,10,
scotty25432,100,120,20,
pattiparker66,100,110,10,
nerfzaq,100,110,10,
lukep123_,100,530,430,
lil_stubbz,100,140,40,
lexi_2569,100,300,200,
dwrts,100,160,60,
divine_twitter,100,140,40,
blaaswerk,100,190,90,
arxpro99,100,390,290,
abraarhassan,100,110,10,
1fizo,100,200,100,
zvz222,90,100,10,
zedricklamar,90,100,10,
wbacammy,90,110,20,
lukesaltyy,90,160,70,
lolej30_,90,250,160,
leoplayz74,90,110,20,
jakjakk15,90,100,10,
dksonic195,90,910,820,
shkaraa,80,600,520,
orbitalsworld,80,110,30,
nljay69,80,90,10,
jaycmg,80,100,20,
jakeboi247,80,240,160,
opt_cmitch2609,70,90,20,
neyluse,70,80,10,
ml1ly,70,90,20,
lemonjay27,70,80,10,
kw29tv,70,80,10,
johnj1831,70,860,790,
jessxo120,70,1060,990,
